CVR-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet;Address_full;Lat;Lon
41280158;13.04.2020;;Slagter Kristian Sand Olesen ;Brandevej 24;7430;Ikast;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;ks.olesen@hotmail.com;Ja;Brandevej 24, 7430 Ikast;56.075891;9.145044
21942677;01.09.1999;;Jensens Slagtehus Morten Enggrob Jensen ;Rigtrupvej 44  -  Voldum;8370;Hadsten;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;information@jensens-slagtehus.dk;Nej;Rigtrupvej 44  -  Voldum, 8370 Hadsten;56.368011;10.1861815
28649398;18.07.2005;;Smedegård v/ John Kristian Jensen ;Kytterupvej 11;6990;Ulfborg;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;;Nej;Kytterupvej 11, 6990 Ulfborg;56.3019656;8.3372115
36590696;01.05.2015;;Sæby Gårdslagteri I/S ;Ålborgvej 108;9300;Sæby;Interessentskab;101110 Forarbejdning af svinekød;60443804.0;kontakt@saebygaardslagteri.dk;Ja;Ålborgvej 108, 9300 Sæby;57.319789;10.474976
40690484;08.08.2019;;Den tørrede gris ;c/o Niels Bjerregård Pedersen -   St. Ladegårdsvej 8;4180;Sorø;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;23262216.0;Skovgrisen@gmail.com;Ja;c/o Niels Bjerregård Pedersen -   St. Ladegårdsvej 8, 4180 Sorø;55.41963;11.61435
38119362;19.10.2016;;Riberholdt Consulting ;Hvalfisken 11;7500;Holstebro;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;30142120.0;idomlund@gmail.com;Ja;Hvalfisken 11, 7500 Holstebro;56.367858;8.666986
30267699;01.04.2007;;Ulfborg Slagteri v/Per O Nielsen ;Industriarealet 40;6990;Ulfborg;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;97492200.0;;Nej;Industriarealet 40, 6990 Ulfborg;56.26132;8.31914
35909737;18.07.2014;;Ømands I/S ;Sønder Vilstrup Bygade 1B;6100;Haderslev;Interessentskab;101110 Forarbejdning af svinekød;;aungstrup@gmail.com;Ja;Sønder Vilstrup Bygade 1B, 6100 Haderslev;55.191685;9.516777
32572154;01.12.2009;;Hjemmeslagter Martin Jørgensen ;Harres 4;6261;Bredebro;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;73710044.0;martinhjemmeslagter@sol.dk;Nej;Harres 4, 6261 Bredebro;55.057086;8.780033
27302165;01.09.2003;;Grenaa Slagtehus I/S v/Tage Sehested Severinsen og Peder Bertelsen ;c/o Peder Bertelsen -   Tempovej 18;8500;Grenaa;Interessentskab;101110 Forarbejdning af svinekød;86327032.0;mail@grenaaslagtehus.dk;Nej;c/o Peder Bertelsen -   Tempovej 18, 8500 Grenaa;56.4227;10.9029
35696032;01.01.2014;;Concepcion Pimentel Schallert ;Auningvej 3;8963;Auning;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;concepcionp3@rougsoes.net;Ja;Auningvej 3, 8963 Auning;56.44901;10.40623
26669170;01.01.2002;;Selskabet af 01.01.2002 ApS under konkurs;Industrivej 17D  -  Ubby;4490;Jerslev;Anpartsselskab;101110 Forarbejdning af svinekød;59596200.0;berit@hvidebaek-slagteri.dk;Nej;Industrivej 17D  -  Ubby, 4490 Jerslev;55.6139471;11.2163612
30647653;01.11.2017;08.08.2018;Sties Multiservice ;Koldingvej 27;4200;Slagelse;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;21722212.0;leslie.stie@gmail.com;Ja;Koldingvej 27, 4200 Slagelse;55.417668;11.356952
28364733;01.12.2008;31.12.2012;Mobil Hjemmeslagt v/Brian Hald Thrane ;Stationsvej 8  -  Andst;6600;Vejen;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;42390960.0;;Nej;Stationsvej 8  -  Andst, 6600 Vejen;55.47014;9.238377
35765417;02.05.2014;31.05.2015;Håsum Chacuteri ;c/o Ulrik Lajgaard -   Landevejen 28;7860;Spøttrup;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;ulriklajgaard@gmail.com;Nej;c/o Ulrik Lajgaard -   Landevejen 28, 7860 Spøttrup;56.57764;8.84833
35099417;01.07.2013;31.12.2017;Sindal Slagtehus ;Nejstvej 99;9870;Sindal;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;info@sindalslagtehus.dk;Nej;Nejstvej 99, 9870 Sindal;57.4818512;10.2418538
16860808;01.04.1993;30.06.2009;CARL HERSE ;Rævekærvej 4  -  Nørrehede;6230;Rødekro;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;74698121.0;;Nej;Rævekærvej 4  -  Nørrehede, 6230 Rødekro;55.12558;9.37579
25006267;11.10.1999;19.11.2017;Hvam Slagterhus I/S ;Gl. Viborgvej 86;9620;Aalestrup;Interessentskab;101110 Forarbejdning af svinekød;98648003.0;;Nej;Gl. Viborgvej 86, 9620 Aalestrup;56.657596;9.5110209
38998455;01.02.1987;31.12.2010;AIDT SLAGTEHUS V/DANNIE TOM JØRGENSEN ;Bavnehøjvej 1  -  Aidt;8881;Thorsø;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;86966943.0;;Nej;Bavnehøjvej 1  -  Aidt, 8881 Thorsø;56.31174;9.80635
30475135;01.08.2007;31.12.2009;Jørgen Olsen ;Elmekrogen 4;3200;Helsinge;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;21629620.0;jio@postil.tele.dk;Nej;Elmekrogen 4, 3200 Helsinge;56.019965;12.185724
13069948;01.04.1985;28.02.2018;Tonis Slagterhus v/Toni Abrahamsen ;Stenagervej 4  -  Bedsted;6240;Løgumkloster;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;74777025.0;;Ja;Stenagervej 4  -  Bedsted, 6240 Løgumkloster;55.0812;9.10019
32792162;06.04.2010;30.09.2010;Norwest Foods International ltd ;c/o Danish Meat CompanyA/S C.Sørensen -   Nygade 5 - 7;9760;Vrå;Anden udenlandsk virksomhed;101110 Forarbejdning af svinekød;96248500.0;ces@d-m-c.dk;Nej;c/o Danish Meat CompanyA/S C.Sørensen -   Nygade 5 - 7, 9760 Vrå;57.326908111572266;10.003829956054688
33432550;01.04.2011;30.09.2012;KS Kød I/S ;Hvamvej 23;7500;Holstebro;Interessentskab;101110 Forarbejdning af svinekød;40102617.0;;Nej;Hvamvej 23, 7500 Holstebro;56.409374;8.730635
15085681;01.04.1991;06.07.2010;SLAGTERISELSKABET DANISH CROWN AMBA SVINEDIVISION NORD ;Østergade 8;8850;Bjerringbro;Forening;101110 Forarbejdning af svinekød;;;Nej;Østergade 8, 8850 Bjerringbro;56.375179;9.661068
25208897;25.02.2016;23.03.2018;Morsø Slagteri ;Food Parken 3;7900;Nykøbing;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;97769799.0;morsslh@gmail.com;Nej;Food Parken 3, 7900 Nykøbing;56.82058;8.78616
35786171;01.06.2014;30.06.2020;Sæby Gårdslagteri ;Hasselvej 2;9300;Sæby;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;60443804.0;logt@email.dk;Nej;Hasselvej 2, 9300 Sæby;57.324578;10.489376
29139725;12.10.2005;11.12.2012;DANISH MEAT COMPANY A/S ;Nygade 5 - 7;9760;Vrå;Aktieselskab;101110 Forarbejdning af svinekød;96248500.0;lunden@asdal.dk;Nej;Nygade 5 - 7, 9760 Vrå;57.3541415;9.9482124
10130816;31.01.2003;03.07.2013;MORSØ SLAGTERI OG KØDENGROS ApS ;Food Parken 3  -  Tødsø;7900;Nykøbing;Anpartsselskab;101110 Forarbejdning af svinekød;97720074.0;;Nej;Food Parken 3  -  Tødsø, 7900 Nykøbing;56.82058;8.78616
32664601;28.12.2009;22.06.2012;AKTIESELSKABET AF 28. DECEMBER 2009 ;c/o Mazanti-Andersen -  Korsø Jensen & Partner -   Store Kongensgade 69;1264;København;Aktieselskab;101110 Forarbejdning af svinekød;;;Nej;c/o Mazanti-Andersen -  Korsø Jensen & Partner -   Store Kongensgade 69, 1264 København;55.686737060546875;12.59079360961914
31067693;22.11.2007;26.04.2012;VESTFYENS SLAGTEHUS ApS ;Industrivej 2;5592;Ejby;Anpartsselskab;101110 Forarbejdning af svinekød;86255256.0;;Nej;Industrivej 2, 5592 Ejby;55.440784;9.944566
14417176;01.08.1990;11.07.2017;GUDME PRIVATSLAGTERI ApS ;Teglværksvej 89;5884;Gudme;Anpartsselskab;101110 Forarbejdning af svinekød;62251081.0;johnf@nielsen.mail.dk;Nej;Teglværksvej 89, 5884 Gudme;55.155059;10.701835
20958472;17.06.1998;16.11.2012;SKOVGAARD'S SLAGTERI OG KØDOPSKÆRING A/S ;Industrivej 7;5750;Ringe;Aktieselskab;101110 Forarbejdning af svinekød;62621096.0;;Nej;Industrivej 7, 5750 Ringe;55.24836;10.486534
30812271;24.08.2007;16.11.2015;MOESGAARD MEAT A/S ;Naurvej 17;7500;Holstebro;Aktieselskab;101110 Forarbejdning af svinekød;97432326.0;;Nej;Naurvej 17, 7500 Holstebro;56.3904774;8.5272974
10112613;01.01.2003;21.12.2009;TAGMOSES SLAGTEHUS, TISTRUP ApS ;Frejasvej 13;6862;Tistrup;Anpartsselskab;101110 Forarbejdning af svinekød;75292172.0;;Nej;Frejasvej 13, 6862 Tistrup;55.71046;8.60454
86555816;22.06.1979;19.06.2014; ;Bødkervej 1;4450;Jyderup;Aktieselskab;101110 Forarbejdning af svinekød;;;Nej;Bødkervej 1, 4450 Jyderup;55.648706;11.431216
29148287;25.10.2005;18.10.2019;JUTLAND MEAT A/S ;Havnevej 8;7600;Struer;Aktieselskab;101110 Forarbejdning af svinekød;;info@jutlandmeat.dk;Nej;Havnevej 8, 7600 Struer;56.492928;8.603027
31279585;29.02.2008;16.04.2019;HÅRBY SLAGTEHUS ApS ;Den Grønne Vej 1  -  Hårby;8660;Skanderborg;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;Den Grønne Vej 1  -  Hårby, 8660 Skanderborg;56.08117;9.89445
34734496;13.11.2012;14.08.2018;DANISH MEAT COMPANY, VRAA A/S ;Nygade 5 - 7;9760;Vrå;Aktieselskab;101110 Forarbejdning af svinekød;;;Nej;Nygade 5 - 7, 9760 Vrå;57.3541415;9.9482124
31279844;29.02.2008;21.12.2015;H. S. SLAGTERI, SKANDERBORG ApS ;Den Grønne Vej 1;8660;Skanderborg;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;Den Grønne Vej 1, 8660 Skanderborg;56.081277;9.894588
25322894;01.04.2000;14.06.2016;NORDKØD ApS ;Harløsevej 224;3400;Hillerød;Anpartsselskab;101110 Forarbejdning af svinekød;48210417.0;;Nej;Harløsevej 224, 3400 Hillerød;55.925241;12.218738
21239372;01.10.1998;26.08.2010;VOERLADEGAARD SLAGTER A/S ;Holmedal 28  -  Voerladegård;8660;Skanderborg;Aktieselskab;101110 Forarbejdning af svinekød;75782040.0;;Nej;Holmedal 28  -  Voerladegård, 8660 Skanderborg;56.024133;9.73074
25022173;11.11.1999;28.10.2009;EJENDOMSSELSKABET LASK ApS ;c/o Lars Andersen -   Munkhulevej 5  -  Staby;6990;Ulfborg;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;c/o Lars Andersen -   Munkhulevej 5  -  Staby, 6990 Ulfborg;56.25198;8.23172
45613410;18.11.1986;31.01.2014;ANDELSSELSKABET AF 2. JULI 2012 ;Bragesvej 18;4100;Ringsted;Andelsselskab (-forening) med begrænset ansvar;101110 Forarbejdning af svinekød;76745111.0;;Nej;Bragesvej 18, 4100 Ringsted;55.429278;11.798537
37172855;09.10.2015;26.03.2020;XYÅ af 30.12.2018 A/S ;Brunagervej 1  -  Kolt;8361;Hasselager;Aktieselskab;101110 Forarbejdning af svinekød;;;Nej;Brunagervej 1  -  Kolt, 8361 Hasselager;56.1008;10.07121
70243016;28.11.1986;08.09.2009;STEFF-HOULBERG A.M.B.A. ;c/o DANISH CROWN AmbA -   Marsvej 43;8960;Randers;Andelsselskab (-forening) med begrænset ansvar;101110 Forarbejdning af svinekød;57616263.0;;Nej;c/o DANISH CROWN AmbA -   Marsvej 43, 8960 Randers;56.43;10.0598
62011513;11.08.1980;08.01.2019;SB PORK A/S ;Markedsvej 9;6650;Brørup;Aktieselskab;101110 Forarbejdning af svinekød;75381433.0;;Nej;Markedsvej 9, 6650 Brørup;55.482877;9.011014
